model,release,hashRate (Th/s),power (W),algo,profitability ($/day),efficiency (j/Gh)
Baikal BK-N240,May 2018,0.00000024,650,CryptoNight,-0.73,2708000
Baikal BK-N70,May 2018,0.00000007,240,CryptoNight,-0.30,3143000
Innosilicon A8C CryptoMaster,May 2018,0.00000008,175,CryptoNight,-0.12,2188000
Bitmain Antminer X3,May 2018,0.00000022,465,CryptoNight,-0.29,2114000
Innosilicon A8+ CryptoMaster,Apr 2018,0.00000024,480,CryptoNight,-0.24,2000000
PinIdea RR-210,Apr 2018,0.00000003,350,CryptoNight,-0.87,11667000
Innosilicon A8 CryptoMaster,Apr 2018,0.00000016,350,CryptoNight,-0.25,2188000
PinIdea RR-200,Apr 2018,0.000000027,350,CryptoNight,-0.88,12963000
Baikal BK-N+,Mar 2018,0.00000004,120,CryptoNight,-0.16,3000000
Baikal BK-N,Mar 2018,0.00000002,60,CryptoNight,-0.08,3000000
