"World",21877,22486,23398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"country",2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
"Austria",65,66,66,"71.36264726491228","71.36264726491228","72.29687318839404","73.23109911187584","74.16532503535763","75.0995509588394","76.03377688232118","76.96800280580297","77.90222872928474","78.83645465276652","79.77068057624831","80.70490649973009","81.63913242321186","82.57335834669365","83.50758427017543","84.4418101936572","85.376036117139","86.31026204062077","87.24448796410255","88.17871388758434","89.11293981106611","90.04716573454789","90.98139165802968","91.91561758151147","92.84984350499323","93.78406942847502","94.71829535195681","95.65252127543857","96.58674719892036","97.52097312240215","98.45519904588393"
"Azerbaijan",20,20,20,"24.377433287449396","24.377433287449396","24.991138315789478","25.60484334412956","26.21854837246964","26.83225340080972","27.4459584291498","28.059663457489883","28.673368485829965","29.287073514170046","29.900778542510125","30.514483570850206","31.12818859919029","31.74189362753037","32.35559865587045","32.96930368421053","33.58300871255061","34.196713740890694","34.81041876923077","35.42412379757086","36.037828825910935","36.651533854251014","37.2652388825911","37.87894391093118","38.49264893927126","39.10635396761134","39.72005899595142","40.333764024291504","40.94746905263158","41.56117408097167","42.174879109311746"
"Bahrain",26,26,27,"27.712092464237514","27.712092464237514","28.485492593792173","29.258892723346825","30.032292852901485","30.805692982456137","31.579093112010796","32.35249324156545","33.12589337112011","33.899293500674766","34.67269363022942","35.44609375978408","36.21949388933873","36.99289401889339","37.76629414844804","38.5396942780027","39.31309440755735","40.08649453711201","40.85989466666666","41.63329479622132","42.40669492577597","43.18009505533063","43.953495184885284","44.72689531443994","45.500295443994595","46.273695573549254","47.04709570310391","47.820495832658565","48.593895962213224","49.36729609176788","50.140696221322536"
"Bangladesh",62,66,71,"52.8179824354251","52.8179824354251","54.377152631983805","55.936322828542515","57.49549302510121","59.05466322165992","60.61383341821862","62.17300361477733","63.732173811336025","65.29134400789474","66.85051420445345","68.40968440101214","69.96885459757085","71.52802479412955","73.08719499068826","74.64636518724696","76.20553538380567","77.76470558036438","79.32387577692307","80.88304597348179","82.44221617004048","84.00138636659919","85.56055656315789","87.1197267597166","88.6788969562753","90.238067152834","91.79723734939272","93.35640754595141","94.91557774251012","96.47474793906882","98.03391813562753"
"Barbados",1,1,1,"1.1396148031039137","1.1396148031039137","1.162655498245614","1.1856961933873145","1.2087368885290148","1.2317775836707152","1.2548182788124156","1.277858973954116","1.3008996690958166","1.323940364237517","1.3469810593792173","1.3700217545209177","1.393062449662618","1.4161031448043184","1.4391438399460188","1.4621845350877194","1.4852252302294198","1.5082659253711201","1.5313066205128205","1.554347315654521","1.5773880107962213","1.6004287059379216","1.6234694010796222","1.6465100962213226","1.669550791363023","1.6925914865047234","1.7156321816464237","1.738672876788124","1.7617135719298245","1.784754267071525","1.8077949622132254"
"Belarus",32,32,33,"42.59252757894738","42.59252757894738","43.624063983805684","44.655600388663984","45.687136793522285","46.71867319838058","47.75020960323888","48.78174600809718","49.81328241295548","50.84481881781378","51.87635522267208","52.90789162753038","53.93942803238868","54.970964437246984","56.00250084210528","57.03403724696358","58.06557365182188","59.09711005668018","60.12864646153848","61.16018286639678","62.19171927125508","63.223255676113375","64.25479208097168","65.28632848582998","66.31786489068828","67.34940129554658","68.38093770040489","69.41247410526319","70.44401051012149","71.47554691497979","72.50708331983809"
"Belgium",82,83,83,"94.75726715114709","94.75726715114709","95.91623125236165","97.07519535357625","98.23415945479081","99.39312355600538","100.55208765721997","101.71105175843454","102.87001585964911","104.0289799608637","105.18794406207826","106.34690816329284","107.50587226450742","108.66483636572198","109.82380046693656","110.98276456815114","112.1417286693657","113.30069277058027","114.45965687179486","115.61862097300943","116.77758507422402","117.93654917543859","119.09551327665315","120.25447737786774","121.41344147908231","122.57240558029687","123.73136968151147","124.89033378272603","126.0492978839406","127.20826198515519","128.36722608636975"
"Belize","0.6","0.6","0.6","0.576934319682861","0.576934319682861","0.5913028002294197","0.6056712807759784","0.6200397613225371","0.6344082418690958","0.6487767224156545","0.6631452029622132","0.677513683508772","0.6918821640553307","0.7062506446018894","0.7206191251484481","0.7349876056950068","0.7493560862415655","0.7637245667881242","0.7780930473346829","0.7924615278812416","0.8068300084278003","0.821198488974359","0.8355669695209177","0.8499354500674764","0.8643039306140351","0.8786724111605938","0.8930408917071525","0.9074093722537112","0.9217778528002699","0.9361463333468286","0.9505148138933873","0.964883294439946","0.9792517749865047","0.9936202555330634"
"Benin","1.1","1.1","1.2","1.0836610541160596","1.0836610541160596","1.112734797840756","1.1418085415654524","1.1708822852901488","1.199956029014845","1.2290297727395414","1.2581035164642378","1.2871772601889342","1.3162510039136306","1.345324747638327","1.3743984913630232","1.4034722350877196","1.432545978812416","1.4616197225371124","1.4906934662618088","1.5197672099865052","1.5488409537112013","1.5779146974358977","1.6069884411605941","1.6360621848852905","1.665135928609987","1.6942096723346833","1.7232834160593795","1.752357159784076","1.7814309035087723","1.8105046472334687","1.839578390958165","1.8686521346828613","1.8977258784075577","1.926799622132254"
"Bermuda","0.6","0.6","0.6","0.6902601879595144","0.6902601879595144","0.6993649119882226","0.7084696360169307","0.7175743600456388","0.7266790840743469","0.7357838081030551","0.7448885321317632","0.7539932561604714","0.7630979801891795","0.7722027042178876","0.7813074282465957","0.7904121522753038","0.799516876304012","0.8086216003327202","0.8177263243614283","0.8268310483901364","0.8359357724188445","0.8450404964475527","0.8541452204762608","0.863249944504969","0.8723546685336772","0.8814593925623853","0.8905641165910934","0.8996688406198016","0.9087735646485097","0.9178782886772178","0.926983012705926","0.9360877367346341","0.9451924607633422","0.9542971847920504"
