,"name","value","year","lastValue","rank"
392,"Italy","413.8204191885964",2036,"409.4982883130904",12
393,"U.K.","371.72921169514177",2028,"369.35052791255066",12
394,"U.K.","364.5931603473685",2025,"362.2144765647773",12
395,"U.K.","376.486579260324",2030,"374.1078954777328",12
396,"Italy","418.14255006410247",2037,"413.8204191885964",12
397,"Italy","357.63271780701746",2023,"353.3105869315114",12
398,"Italy","435.4310735661268",2041,"431.1089426906207",12
399,"U.K.","307.0",2018,"307.0",12
400,"Italy","431.1089426906207",2040,"426.7868118151146",12
401,"Saudi Arabia","390.60942318623495",2032,"382.8075149311742",12
402,"Italy","461.3638588191632",2047,"457.0417279436571",12
403,"Italy","344.66632518049926",2019,"302.0",12
404,"Italy","457.0417279436571",2046,"452.719597068151",12
405,"Italy","344.66632518049926",2020,"344.66632518049926",12
406,"Saudi Arabia","382.8075149311742",2031,"375.0056066761135",12
407,"Italy","426.7868118151146",2039,"422.46468093960857",12
408,"Taiwan","423.1389549981107",2043,"416.7857394847504",13
409,"Taiwan","461.2582480782727",2049,"454.9050325649124",13
410,"U.K.","390.7586819558705",2036,"388.3799981732794",13
411,"Italy","300.0",2017,"294.0",13
412,"Saudi Arabia","351.5998819109313",2027,"343.7979736558705",13
413,"Saudi Arabia","359.401790165992",2028,"351.5998819109313",13
414,"U.K.","381.2439468255061",2032,"378.8652630429151",13
415,"Saudi Arabia","343.7979736558705",2026,"335.9960654008098",13
416,"Saudi Arabia","304.78843238056686",2021,"296.9865241255061",13
417,"Taiwan","454.9050325649124",2048,"448.551817051552",13
418,"Italy","294.0",2016,"0.0",13
419,"U.K.","395.5160495210527",2038,"393.1373657384616",13
420,"U.K.","388.3799981732794",2035,"386.0013143906883",13
421,"Saudi Arabia","312.5903406356276",2022,"304.78843238056686",13
422,"U.K.","378.8652630429151",2031,"376.486579260324",13
423,"Saudi Arabia","296.9865241255061",2019,"322.0",13
424,"Taiwan","448.551817051552",2047,"442.19860153819167",13
425,"U.K.","397.89473330364376",2039,"395.5160495210527",13
426,"U.K.","393.1373657384616",2037,"390.7586819558705",13
427,"Saudi Arabia","320.39224889068834",2023,"312.5903406356276",13
428,"U.K.","386.0013143906883",2034,"383.6226306080972",13
429,"Taiwan","404.07930845802974",2040,"397.7260929446694",13
430,"Taiwan","442.19860153819167",2046,"435.8453860248314",13
431,"Saudi Arabia","375.0056066761135",2030,"367.2036984210527",13
432,"Taiwan","416.7857394847504",2042,"410.4325239713901",13
433,"Saudi Arabia","328.19415714574905",2024,"320.39224889068834",13
434,"Taiwan","429.49217051147104",2044,"423.1389549981107",13
435,"U.K.","383.6226306080972",2033,"381.2439468255061",13
436,"Saudi Arabia","367.2036984210527",2029,"359.401790165992",13
437,"Taiwan","410.4325239713901",2041,"404.07930845802974",13
438,"Saudi Arabia","335.9960654008098",2025,"328.19415714574905",13
439,"Italy","302.0",2018,"300.0",13
440,"Taiwan","435.8453860248314",2045,"429.49217051147104",13
441,"Saudi Arabia","296.9865241255061",2020,"296.9865241255061",13
442,"Taiwan","353.25358435114714",2032,"346.9003688377868",14
443,"U.K.","402.652100868826",2041,"400.2734170862349",14
444,"Taiwan","391.3728774313091",2038,"385.0196619179488",14
445,"Mexico","439.75653869770593",2049,"434.1069241750339",14
446,"Taiwan","359.6067998645075",2033,"353.25358435114714",14
447,"U.K.","400.2734170862349",2040,"397.89473330364376",14
448,"Taiwan","397.7260929446694",2039,"391.3728774313091",14
449,"Taiwan","385.0196619179488",2037,"378.6664464045885",14
450,"Taiwan","334.1939378110662",2029,"327.84072229770584",14
451,"Taiwan","340.5471533244265",2030,"334.1939378110662",14
452,"Taiwan","327.84072229770584",2028,"321.4875067843456",14
453,"Spain","284.17756804925784",2019,"245.0",14
454,"Taiwan","346.9003688377868",2031,"340.5471533244265",14
455,"U.K.","405.0307846514171",2042,"402.652100868826",14
456,"Mexico","261.0",2017,"259.0",14
457,"Mexico","422.80769512968976",2046,"417.15808060701767",14
458,"Mexico","417.15808060701767",2045,"411.5084660843456",14
459,"Spain","284.17756804925784",2020,"284.17756804925784",14
460,"Taiwan","308.7810757576249",2025,"302.42786024426454",14
461,"Spain","303.7823321221323",2024,"298.8811411039137",14
462,"Taiwan","372.3132308912281",2035,"365.9600153778678",14
463,"Mexico","411.5084660843456",2044,"405.8588515616736",14
464,"Spain","293.97995008569507",2022,"289.0787590674764",14
465,"Taiwan","315.1342912709852",2026,"308.7810757576249",14
466,"Mexico","259.0",2016,"0.0",14
467,"Mexico","434.1069241750339",2048,"428.4573096523618",14
468,"Taiwan","378.6664464045885",2036,"372.3132308912281",14
469,"Taiwan","365.9600153778678",2034,"359.6067998645075",14
470,"U.K.","407.4094684340082",2043,"405.0307846514171",14
471,"Taiwan","321.4875067843456",2027,"315.1342912709852",14
472,"Mexico","271.0",2018,"261.0",14
473,"Spain","298.8811411039137",2023,"293.97995008569507",14
474,"Spain","289.0787590674764",2021,"284.17756804925784",14
475,"Mexico","428.4573096523618",2047,"422.80769512968976",14
476,"Spain","333.189478231444",2030,"328.28828721322543",15
477,"Spain","318.4859051767881",2027,"313.5847141585696",15
478,"U.K.","409.78815221659926",2044,"407.4094684340082",15
479,"Mexico","388.91000799365736",2040,"383.2603934709853",15
480,"Mexico","377.6107789483132",2038,"371.9611644256412",15
481,"Mexico","360.66193538029705",2035,"355.01232085762496",15
482,"Taiwan","277.0149981908233",2020,"277.0149981908233",15
483,"Spain","426.31210757759794",2049,"421.4109165593793",15
484,"Mexico","394.5596225163295",2041,"388.91000799365736",15
485,"Mexico","343.7130918122808",2032,"338.0634772896088",15
486,"Taiwan","302.42786024426454",2024,"296.07464473090425",15
487,"Spain","308.6835231403509",2025,"303.7823321221323",15
488,"Taiwan","283.3682137041836",2021,"277.0149981908233",15
489,"Spain","338.0906692496627",2031,"333.189478231444",15
490,"Spain","328.28828721322543",2029,"323.3870961950068",15
491,"U.K.","412.1668359991903",2045,"409.78815221659926",15
492,"Turkey","258.0",2018,"248.0",15
493,"Mexico","349.3627063349529",2033,"343.7130918122808",15
494,"Spain","240.0",2016,"0.0",15
495,"Mexico","371.9611644256412",2037,"366.3115499029691",15
496,"Taiwan","296.07464473090425",2023,"289.7214292175439",15
497,"Spain","421.4109165593793",2048,"416.5097255411607",15
498,"U.K.","414.5455197817814",2046,"412.1668359991903",15
499,"Iran","252.0",2017,"236.0",15
500,"Mexico","355.01232085762496",2034,"349.3627063349529",15
501,"Mexico","400.2092370390015",2042,"394.5596225163295",15
502,"Taiwan","277.0149981908233",2019,"247.0",15
503,"Mexico","405.8588515616736",2043,"400.2092370390015",15
504,"U.K.","416.9242035643725",2047,"414.5455197817814",15
505,"Taiwan","289.7214292175439",2022,"283.3682137041836",15
506,"Spain","313.5847141585696",2026,"308.6835231403509",15
507,"Mexico","383.2603934709853",2039,"377.6107789483132",15
508,"Spain","323.3870961950068",2028,"318.4859051767881",15
509,"Mexico","366.3115499029691",2036,"360.66193538029705",15
510,"Mexico","338.0634772896088",2031,"332.4138627669367",16
511,"Spain","377.30019739541166",2039,"372.3990063771931",16
512,"Iran","255.0",2018,"252.0",16
513,"Mexico","332.4138627669367",2030,"326.76424824426465",16
514,"Mexico","326.76424824426465",2029,"321.1146337215925",16
515,"Mexico","292.86656110823225",2023,"287.2169465855601",16
516,"Spain","357.6954333225372",2035,"352.7942423043186",16
517,"Spain","367.4978153589744",2037,"362.5966243407558",16
518,"Spain","352.7942423043186",2034,"347.89305128609993",16
519,"Mexico","298.5161756309043",2024,"292.86656110823225",16
520,"Mexico","275.917717540216",2020,"275.917717540216",16
521,"U.K.","421.6815711295548",2049,"419.3028873469637",16
522,"Taiwan","237.0",2016,"0.0",16
523,"Spain","382.2013884136303",2040,"377.30019739541166",16
524,"Mexico","275.917717540216",2019,"271.0",16
525,"Spain","416.5097255411607",2047,"411.608534522942",16
526,"Spain","411.608534522942",2046,"406.7073435047234",16
527,"Spain","406.7073435047234",2045,"401.8061524865048",16
528,"Spain","387.10257943184894",2041,"382.2013884136303",16
529,"Mexico","309.8154046762484",2026,"304.1657901535764",16
530,"Mexico","321.1146337215925",2028,"315.4650191989205",16
531,"Spain","401.8061524865048",2044,"396.90496146828616",16
532,"Spain","362.5966243407558",2036,"357.6954333225372",16
533,"Spain","372.3990063771931",2038,"367.4978153589744",16
534,"Turkey","248.0",2017,"231.0",16
535,"U.K.","419.3028873469637",2048,"416.9242035643725",16
536,"Spain","342.9918602678813",2032,"338.0906692496627",16
537,"Mexico","304.1657901535764",2025,"298.5161756309043",16
538,"Spain","396.90496146828616",2043,"392.0037704500676",16
539,"Mexico","287.2169465855601",2022,"281.5673320628881",16
540,"Spain","392.0037704500676",2042,"387.10257943184894",16
541,"Mexico","281.5673320628881",2021,"275.917717540216",16
542,"Spain","347.89305128609993",2033,"342.9918602678813",16
543,"Mexico","315.4650191989205",2027,"309.8154046762484",16
544,"Australia","303.8982743481781",2030,"299.5476958704453",17
545,"Iran","346.18412062051294",2037,"339.9227030711202",17
546,"Australia","260.3924895708502",2019,"234.0",17
547,"Australia","286.495960437247",2026,"282.14538195951417",17
548,"Iran","321.13845042294207",2033,"314.8770328735493",17
549,"Iran","339.9227030711202",2036,"333.6612855217275",17
550,"Australia","264.743068048583",2021,"260.3924895708502",17
551,"Iran","377.4912083674765",2042,"371.22979081808376",17
552,"Iran","327.3998679723348",2034,"321.13845042294207",17
553,"Iran","415.0597136638328",2048,"408.79829611444006",17
554,"Australia","273.4442250040486",2023,"269.0936465263158",17
555,"Iran","408.79829611444006",2047,"402.53687856504735",17
556,"Iran","383.7526259168692",2043,"377.4912083674765",17
557,"Iran","236.0",2016,"0.0",17
558,"Iran","396.2754610156546",2045,"390.0140434662619",17
559,"Iran","333.6612855217275",2035,"327.3998679723348",17
560,"Indonesia","249.0",2018,"221.0",17
561,"Iran","314.8770328735493",2032,"308.61561532415664",17
562,"Australia","299.5476958704453",2029,"295.1971173927126",17
563,"Spain","245.0",2017,"240.0",17
564,"Australia","269.0936465263158",2022,"264.743068048583",17
565,"Australia","277.7948034817814",2024,"273.4442250040486",17
566,"Australia","282.14538195951417",2025,"277.7948034817814",17
567,"Iran","371.22979081808376",2041,"364.96837326869104",17
568,"Iran","308.61561532415664",2031,"302.3541977747639",17
569,"Iran","421.3211312132255",2049,"415.0597136638328",17
570,"Australia","260.3924895708502",2020,"260.3924895708502",17
571,"Iran","352.4455381699056",2038,"346.18412062051294",17
572,"Iran","364.96837326869104",2040,"358.7069557192983",17
573,"Iran","390.0140434662619",2044,"383.7526259168692",17
574,"Australia","295.1971173927126",2028,"290.84653891497976",17
575,"Australia","290.84653891497976",2027,"286.495960437247",17
576,"Iran","402.53687856504735",2046,"396.2754610156546",17
577,"Iran","358.7069557192983",2039,"352.4455381699056",17
578,"Taiwan","247.0",2018,"242.0",18
579,"Australia","308.24885282591094",2031,"303.8982743481781",18
580,"Turkey","398.5245780442646",2047,"392.4484649685561",18
581,"Turkey","410.67680419568165",2049,"404.60069111997313",18
582,"Australia","312.5994313036437",2032,"308.24885282591094",18
583,"Iran","246.0014398302295",2021,"239.7400222808368",18
584,"Australia","325.65116673684213",2035,"321.3005882591093",18
585,"Turkey","404.60069111997313",2048,"398.5245780442646",18
586,"Turkey","343.8395603628881",2038,"337.7634472871796",18
587,"Iran","252.2628573796222",2022,"246.0014398302295",18
588,"Turkey","231.0",2016,"0.0",18
589,"Turkey","349.91567343859657",2039,"343.8395603628881",18
590,"Iran","283.56994512658576",2027,"277.30852757719305",18
591,"Taiwan","242.0",2017,"237.0",18
