,name,value,year,lastValue,rank
416,India,1097.3943821829962,2021,1069.1509161502026,13
417,Japan,1483.679957246626,2048,1470.8647179176787,13
418,Canada,551.0,2016,0.0,13
419,Japan,1355.5275639571523,2038,1342.712324628205,13
420,Japan,1317.0818459703105,2035,1304.2666066413628,13
421,India,1125.6378482157895,2022,1097.3943821829962,13
422,Japan,1265.8208886545208,2031,1253.0056493255734,13
423,India,1069.1509161502026,2019,1277.0,13
424,Japan,1470.8647179176787,2047,1458.0494785887313,13
425,Japan,1368.3428032860998,2039,1355.5275639571523,13
426,Japan,1342.712324628205,2037,1329.8970852992577,13
427,India,1153.881314248583,2023,1125.6378482157895,13
428,Japan,1304.2666066413628,2034,1291.4513673124156,13
429,Japan,1381.1580426150472,2040,1368.3428032860998,13
430,Japan,1458.0494785887313,2046,1445.234239259784,13
431,Japan,1253.0056493255734,2030,1240.190409996626,13
432,Japan,1406.7885212729418,2042,1393.9732819439946,13
433,Japan,1176.1142133518892,2024,1163.2989740229418,13
434,Japan,1432.4189999308364,2044,1419.6037606018892,13
435,Japan,1291.4513673124156,2033,1278.6361279834682,13
436,Japan,1240.190409996626,2029,1227.3751706676787,13
437,Japan,1393.9732819439946,2041,1381.1580426150472,13
438,Japan,1188.929452680837,2025,1176.1142133518892,13
439,Russia,929.0,2018,919.0,13
440,Japan,1445.234239259784,2045,1432.4189999308364,13
441,India,1069.1509161502026,2020,1069.1509161502026,13
442,Germany,945.8408480080972,2032,928.5581237327935,14
443,Germany,1101.3853664858302,2041,1084.1026422105267,14
444,Germany,1049.5371936599192,2038,1032.2544693846155,14
445,Germany,1239.6471606882594,2049,1222.3644364129557,14
446,Germany,963.123572283401,2033,945.8408480080972,14
447,Germany,1084.1026422105267,2040,1066.819917935223,14
448,Germany,1066.819917935223,2039,1049.5371936599192,14
449,Germany,1032.2544693846155,2037,1014.971745109312,14
450,Germany,893.9926751821864,2029,876.7099509068827,14
451,Germany,911.27539945749,2030,893.9926751821864,14
452,Germany,876.7099509068827,2028,859.4272266315791,14
453,Germany,738.4481567044536,2019,533.0,14
454,Germany,928.5581237327935,2031,911.27539945749,14
455,Germany,1118.668090761134,2042,1101.3853664858302,14
456,Germany,539.0,2017,538.0,14
457,Germany,1187.7989878623484,2046,1170.516263587045,14
458,Germany,1170.516263587045,2045,1153.2335393117412,14
459,Germany,738.4481567044536,2020,738.4481567044536,14
460,Germany,824.8617780809718,2025,807.5790538056682,14
461,Germany,807.5790538056682,2024,790.2963295303645,14
462,Germany,997.6890208340084,2035,980.4062965587046,14
463,Germany,1153.2335393117412,2044,1135.9508150364377,14
464,Germany,773.0136052550608,2022,755.7308809797572,14
465,Germany,842.1445023562754,2026,824.8617780809718,14
466,Germany,538.0,2016,0.0,14
467,Germany,1222.3644364129557,2048,1205.0817121376522,14
468,Germany,1014.971745109312,2036,997.6890208340084,14
469,Germany,980.4062965587046,2034,963.123572283401,14
470,Germany,1135.9508150364377,2043,1118.668090761134,14
471,Germany,859.4272266315791,2027,842.1445023562754,14
472,Canada,559.0,2018,553.0,14
473,Germany,790.2963295303645,2023,773.0136052550608,14
474,Germany,755.7308809797572,2021,738.4481567044536,14
475,Germany,1205.0817121376522,2047,1187.7989878623484,14
476,South Korea,721.621395134413,2030,706.6057472591093,15
477,South Korea,676.574451508502,2027,661.5588036331983,15
478,South Korea,931.840465388664,2044,916.8248175133602,15
479,South Korea,871.7778738874493,2040,856.7622260121457,15
480,South Korea,841.7465781368421,2038,826.7309302615384,15
481,South Korea,796.6996345109311,2035,781.6839866356274,15
482,Canada,614.4364804816856,2020,614.4364804816856,15
483,South Korea,1006.9187047651822,2049,991.9030568898784,15
484,South Korea,886.793521762753,2041,871.7778738874493,15
485,South Korea,751.6526908850202,2032,736.6370430097165,15
486,Canada,640.6206468147423,2024,634.0746052314781,15
487,Canada,647.1666883980065,2025,640.6206468147423,15
488,Canada,620.9825220649498,2021,614.4364804816856,15
489,South Korea,736.6370430097165,2031,721.621395134413,15
490,South Korea,706.6057472591093,2029,691.5900993838056,15
491,South Korea,946.8561132639676,2045,931.840465388664,15
492,South Korea,535.0,2018,512.0,15
493,South Korea,766.6683387603239,2033,751.6526908850202,15
494,Brazil,510.0,2016,0.0,15
495,South Korea,826.7309302615384,2037,811.7152823862348,15
496,Canada,634.0746052314781,2023,627.528563648214,15
497,South Korea,991.9030568898784,2048,976.8874090145748,15
498,South Korea,961.8717611392711,2046,946.8561132639676,15
499,Brazil,517.0,2017,510.0,15
500,South Korea,781.6839866356274,2034,766.6683387603239,15
501,South Korea,901.8091696380566,2042,886.793521762753,15
502,Canada,614.4364804816856,2019,559.0,15
503,South Korea,916.8248175133602,2043,901.8091696380566,15
504,South Korea,976.8874090145748,2047,961.8717611392711,15
505,Canada,627.528563648214,2022,620.9825220649498,15
506,South Korea,661.5588036331983,2026,646.5431557578947,15
507,South Korea,856.7622260121457,2039,841.7465781368421,15
508,South Korea,691.5900993838056,2028,676.574451508502,15
509,South Korea,811.7152823862348,2036,796.6996345109311,15
510,Canada,686.4429378975915,2031,679.8968963143273,16
511,Brazil,766.2350790337382,2039,755.0085169066126,16
512,Germany,533.0,2018,539.0,16
513,Canada,679.8968963143273,2030,673.3508547310631,16
514,Canada,673.3508547310631,2029,666.804813147799,16
515,South Korea,616.5118600072874,2023,601.4962121319838,16
516,Brazil,721.3288305252362,2035,710.1022683981106,16
517,Brazil,743.7819547794871,2037,732.5553926523617,16
518,Brazil,710.1022683981106,2034,698.8757062709851,16
519,South Korea,631.5275078825911,2024,616.5118600072874,16
520,South Korea,571.4649163813765,2020,571.4649163813765,16
521,Brazil,878.5007003049932,2049,867.2741381778677,16
522,South Korea,509.0,2016,0.0,16
523,Brazil,777.4616411608637,2040,766.2350790337382,16
524,South Korea,571.4649163813765,2019,535.0,16
525,Brazil,856.0475760507422,2047,844.8210139236168,16
526,Brazil,844.8210139236168,2046,833.5944517964912,16
527,Brazil,833.5944517964912,2045,822.3678896693657,16
528,Brazil,788.6882032879892,2041,777.4616411608637,16
529,Canada,653.7127299812706,2026,647.1666883980065,16
530,Canada,666.804813147799,2028,660.2587715645348,16
531,Brazil,822.3678896693657,2044,811.1413275422402,16
532,Brazil,732.5553926523617,2036,721.3288305252362,16
533,Brazil,755.0085169066126,2038,743.7819547794871,16
