Timestamp;TH/s
26/10/2016;1639275.362
27/10/2016;1629961.257
28/10/2016;1635364.442
29/10/2016;1644369.75
30/10/2016;1691197.352
31/10/2016;1705605.845
1/11/2016;1714611.154
2/11/2016;1662380.366
3/11/2016;1669584.613
4/11/2016;1610149.579
5/11/2016;1575188.518
6/11/2016;1588891.698
7/11/2016;1593532.648
8/11/2016;1659573.343
9/11/2016;1644409.73
10/11/2016;1739260.297
11/11/2016;1764574.773
12/11/2016;1789889.25
13/11/2016;1784464.719
14/11/2016;1789889.25
15/11/2016;1806162.842
16/11/2016;1813395.549
17/11/2016;1806162.842
18/11/2016;1798566.717
19/11/2016;1824167.814
20/11/2016;1771316.183
21/11/2016;1769408.581
22/11/2016;1726562.949
23/11/2016;1733239.216
24/11/2016;1765258.415
25/11/2016;1785270.415
26/11/2016;1835300.413
27/11/2016;1843305.213
28/11/2016;1903341.211
29/11/2016;1911346.011
30/11/2016;1867319.612
1/12/2016;1855312.413
2/12/2016;1840377.524
3/12/2016;1902475.45
4/12/2016;1875674.393
5/12/2016;1883034.766
6/12/2016;1904333.023
7/12/2016;1968537.921
8/12/2016;1995011.871
9/12/2016;1919662.938
10/12/2016;1887079.615
11/12/2016;1960392.091
12/12/2016;1972610.837
13/12/2016;1978720.21
14/12/2016;1942063.972
15/12/2016;1946865.708
16/12/2016;1970992.101
17/12/2016;1907507.435
18/12/2016;1900379.224
19/12/2016;1872676.966
20/12/2016;1893560.893
21/12/2016;1964042.41
22/12/2016;2021308.642
23/12/2016;2036726.474
24/12/2016;2027916.284
25/12/2016;2060954.495
26/12/2016;2069764.685
27/12/2016;2063157.043
28/12/2016;2082944.816
29/12/2016;2086565.67
30/12/2016;2139017.11
31/12/2016;2105087.645
1/1/2017;2463610.662
2/1/2017;2526780.166
3/1/2017;2589949.671
4/1/2017;2432025.91
5/1/2017;2210932.646
6/1/2017;2542572.542
7/1/2017;2195140.27
8/1/2017;2637326.799
9/1/2017;2147763.141
10/1/2017;2679581.84
11/1/2017;2562350.134
12/1/2017;2897297.864
13/1/2017;2528855.361
14/1/2017;2880550.478
15/1/2017;2796813.545
16/1/2017;2830308.318
17/1/2017;2646087.067
18/1/2017;2528855.361
19/1/2017;2914045.251
20/1/2017;3165256.048
21/1/2017;3031276.956
22/1/2017;3398969.892
23/1/2017;2715269.052
24/1/2017;2910612.149
25/1/2017;2930146.459
26/1/2017;3066886.627
27/1/2017;3320832.653
28/1/2017;2969215.078
29/1/2017;3262229.724
30/1/2017;2852009.22
31/1/2017;2832474.91
1/2/2017;3750587.467
2/2/2017;3066886.627
3/2/2017;2910612.149
4/2/2017;3043000.843
5/2/2017;3336807.821
6/2/2017;2623276.589
7/2/2017;3168918.119
8/2/2017;3063987.056
9/2/2017;3546669.948
10/2/2017;3105959.481
11/2/2017;2917083.567
12/2/2017;2959055.992
13/2/2017;3420752.672
14/2/2017;3546669.948
15/2/2017;2917083.567
16/2/2017;3189904.332
17/2/2017;3168918.119
18/2/2017;3330515.744
19/2/2017;2936112.564
20/2/2017;3242870.593
21/2/2017;3023757.715
22/2/2017;3045669.003
23/2/2017;3286693.168
24/2/2017;3637273.773
25/2/2017;3659185.061
26/2/2017;3900209.227
27/2/2017;3155225.442
28/2/2017;3352427.032
1/3/2017;3155225.442
2/3/2017;3440072.183
3/3/2017;3458650.323
4/3/2017;3069265.85
5/3/2017;3367030.447
6/3/2017;3252505.602
7/3/2017;3504460.261
8/3/2017;3252505.602
9/3/2017;3389935.416
10/3/2017;3573175.168
11/3/2017;3412840.385
12/3/2017;3550270.199
13/3/2017;3321220.509
14/3/2017;3573175.168
15/3/2017;3252505.602
16/3/2017;3504460.261
17/3/2017;3641704.837
18/3/2017;3712647.139
19/3/2017;3925474.045
20/3/2017;3216051.025
21/3/2017;3357935.629
22/3/2017;3807236.875
23/3/2017;3499820.233
24/3/2017;4161948.385
25/3/2017;3145108.723
26/3/2017;3925474.045
27/3/2017;3121461.289
28/3/2017;3665352.271
29/3/2017;3263345.893
30/3/2017;4073274.033
31/3/2017;3352999.966
1/4/2017;3278488.856
2/4/2017;3924251.812
3/4/2017;4371318.475
4/4/2017;3104629.598
5/4/2017;4023599.96
6/4/2017;3651044.408
7/4/2017;4023599.96
8/4/2017;3402674.04
9/4/2017;3949088.849
10/4/2017;3675881.445
11/4/2017;4147785.144
12/4/2017;3526859.224
13/4/2017;3287972.007
14/4/2017;3598646.527
15/4/2017;3909321.047
16/4/2017;3779873.33
17/4/2017;3572756.984
18/4/2017;3779873.33
19/4/2017;3702204.7
20/4/2017;3598646.527
21/4/2017;4323553.741
22/4/2017;3753983.787
23/4/2017;3961100.134
24/4/2017;3210303.377
25/4/2017;3831652.417
26/4/2017;3961100.134
27/4/2017;3814281.634
28/4/2017;3528859.199
29/4/2017;4488916.48
30/4/2017;3918071.61
1/5/2017;3892124.116
2/5/2017;4099704.069
3/5/2017;3425069.222
