id,name,value,year,lastValue,rank
960,Nigeria,28.441452040485835,2023,27.823537147773283,69
961,Libya,26.826895318488532,2020,26.826895318488532,69
962,Libya,30.137851197031047,2026,29.58602521727396,69
963,Libya,29.03419923751688,2024,28.48237325775979,69
964,Libya,24.0,2016,0.0,69
965,Libya,25.0,2017,24.0,69
966,Oman,27.449263981106625,2024,26.74693284750338,70
967,Oman,30.96091964912282,2029,30.25858851551958,70
968,Ecuador,25.0,2018,24.0,70
969,Oman,24.639939446693663,2019,32.0,70
970,Oman,28.853926248313098,2026,28.15159511470986,70
971,Oman,30.25858851551958,2028,29.556257381916332,70
972,Bulgaria,27.78411432658569,2022,28.004896488529013,70
973,Oman,29.556257381916332,2027,28.853926248313098,70
974,Ecuador,24.0,2017,23.0,70
975,Nigeria,26.587707362348183,2020,26.587707362348183,70
976,Ecuador,23.0,2016,0.0,70
977,Bulgaria,27.56333216464237,2023,27.78411432658569,70
978,Oman,28.15159511470986,2025,27.449263981106625,70
979,Nigeria,27.20562225506073,2021,26.587707362348183,70
980,Azerbaijan,29.287073514170046,2028,28.673368485829965,71
981,Azerbaijan,24.3774332874494,2019,20.0,71
982,Oman,26.044601713900143,2022,25.342270580296905,71
983,Azerbaijan,28.673368485829965,2027,28.059663457489883,71
984,Bulgaria,27.342550002699053,2024,27.56333216464237,71
985,Azerbaijan,29.900778542510125,2029,29.287073514170046,71
986,Azerbaijan,20.0,2016,0.0,71
987,Oman,24.639939446693663,2020,24.639939446693663,71
988,Oman,25.342270580296905,2021,24.639939446693663,71
989,Azerbaijan,28.059663457489883,2026,27.4459584291498,71
990,Azerbaijan,20.0,2017,20.0,71
991,Azerbaijan,20.0,2018,20.0,71
992,Oman,26.74693284750338,2023,26.044601713900143,71
993,Azerbaijan,27.4459584291498,2025,26.83225340080972,71
994,Azerbaijan,26.21854837246964,2023,25.60484334412956,72
995,Ecuador,27.15188008502025,2029,26.58498941295547,72
996,Bulgaria,26.90098567881241,2026,27.12176784075573,72
997,Iceland,18.0,2016,0.0,72
998,Ecuador,22.049864036437253,2019,25.0,72
999,Azerbaijan,26.83225340080972,2024,26.21854837246964,72
1000,Ecuador,26.58498941295547,2028,26.018098740890693,72
1001,Iceland,19.0,2018,18.0,72
1002,Azerbaijan,25.60484334412956,2022,24.99113831578948,72
1003,Azerbaijan,24.3774332874494,2020,24.3774332874494,72
1004,Bulgaria,26.68020351686909,2027,26.90098567881241,72
1005,Azerbaijan,24.99113831578948,2021,24.3774332874494,72
1006,Iceland,18.0,2017,18.0,72
1007,Bulgaria,27.12176784075573,2025,27.342550002699053,72
1008,Puerto Rico,18.0,2016,0.0,73
1009,Burma,18.0,2018,17.0,73
1010,Ecuador,26.018098740890693,2027,25.45120806882592,73
1011,Ecuador,25.45120806882592,2026,24.884317396761137,73
1012,Ecuador,22.61675470850203,2021,22.049864036437253,73
1013,Bulgaria,26.459421354925773,2028,26.68020351686909,73
1014,Ecuador,24.31742672469636,2024,23.750536052631585,73
1015,Lebanon,18.0,2017,16.0,73
