,country,value,rank
547,Colombia,71.91252375438597,43
548,Colombia,73.16037773009448,43
549,Tajikistan,16.0853177,43
550,Colombia,68.16896182726047,43
551,Czech Republic,64.0,43
552,Colombia,66.92110785155197,43
553,Colombia,74.40823170580298,43
554,Colombia,70.66466977867748,43
555,Czech Republic,64.0,43
556,Colombia,75.65608568151148,43
557,Colombia,69.41681580296897,43
558,Switzerland,64.49357321909582,43
559,Algeria,60.0,44
560,Israel,73.60535811538462,44
561,Switzerland,67.11783194703105,44
562,Slovenia,14.023035,44
563,Algeria,62.0,44
564,Switzerland,65.14963790107963,44
565,Colombia,64.42539990013496,44
566,Israel,68.22765056153847,44
567,Israel,70.91650433846154,44
568,Israel,69.57207745000001,44
569,Israel,72.26093122692308,44
570,Switzerland,66.46176726504724,44
571,Switzerland,65.80570258306344,44
572,Israel,61.50551611923077,45
573,Kuwait,59.0,45
574,Georgia,12.1789608,45
575,Israel,64.19436989615384,45
576,Israel,65.53879678461539,45
577,Switzerland,59.0,45
578,Switzerland,69.74209067496628,45
579,Switzerland,68.42996131099866,45
580,Switzerland,67.77389662901486,45
581,Israel,62.84994300769231,45
582,Israel,66.88322367307693,45
583,Kuwait,70.93878303643726,45
584,Switzerland,69.08602599298247,45
585,Kuwait,59.0,46
586,Kuwait,69.562019242915,46
587,Kuwait,65.4317278623482,46
588,Kuwait,61.301436481781394,46
589,Switzerland,58.0,46
590,Kuwait,64.05496406882592,46
591,Lithuania,11.306302,46
592,Kuwait,62.67820027530366,46
593,Switzerland,70.39815535695007,46
594,Kuwait,68.18525544939273,46
595,Kuwait,58.54790889473686,46
596,Kuwait,66.80849165587045,46
597,Kuwait,59.92467268825913,46
598,Uzbekistan,59.91308197543861,47
599,Israel,56.0,47
600,Uzbekistan,57.1457852774629,47
601,Uzbekistan,64.06402702240217,47
602,Uzbekistan,61.29673032442646,47
603,Greece,58.0,47
604,Uzbekistan,66.83132372037788,47
605,Uzbekistan,62.68037867341432,47
606,Uzbekistan,65.44767537139003,47
607,Uzbekistan,68.21497206936573,47
608,Uzbekistan,58.52943362645075,47
609,Bolivia,9.0573537,47
610,Uzbekistan,69.59862041835359,47
611,Israel,55.0,48
612,Portugal,58.76509482186236,48
613,Portugal,59.81584339271256,48
614,Portugal,60.86659196356276,48
615,Portugal,62.96808910526317,48
616,Bangladesh,65.29134400789474,48
617,Portugal,56.66359768016195,48
618,Portugal,57.71434625101215,48
619,Portugal,61.917340534412965,48
620,Estonia,8.857956,48
621,Romania,52.0,48
622,Portugal,64.01883767611338,48
623,Bangladesh,66.85051420445345,48
624,Bangladesh,60.61383341821862,49
625,Bangladesh,59.05466322165992,49
626,North Macedonia,7.023724,49
627,Bangladesh,62.17300361477733,49
628,Bangladesh,57.49549302510121,49
629,Portugal,66.12033481781377,49
630,Romania,51.0,49
631,Portugal,65.06958624696358,49
632,Singapore,53.08927281025643,49
633,Greece,51.0,49
634,Bangladesh,54.377152631983805,49
635,Bangladesh,55.93632282854252,49
636,Bangladesh,63.732173811336025,49
637,Latvia,6.876723,50
638,Singapore,63.13268524102566,50
639,Singapore,58.11097902564104,50
640,Singapore,60.62183213333336,50
641,Singapore,55.60012591794874,50
642,Singapore,61.87725868717951,50
643,Singapore,49.0,50
644,Uzbekistan,49.0,50
645,Bangladesh,52.8179824354251,50
646,Singapore,54.34469936410258,50
647,Singapore,59.3664055794872,50
648,Singapore,64.38811179487182,50
649,Singapore,56.855552471794894,50
650,Algeria,61.49014923144401,51
651,Algeria,62.78476170715251,51
652,Hong Kong,52.24911558022944,51
653,El Salvador,6.21199574,51
654,Hong Kong,54.25745167456142,51
655,Hong Kong,55.26161972172741,51
656,Algeria,60.1955367557355,51
657,Algeria,57.60631180431851,51
658,Algeria,56.31169932861,51
659,Uzbekistan,48.0,51
660,Algeria,58.90092428002701,51
661,Singapore,49.0,51
662,Hong Kong,53.25328362739543,51
663,Algeria,52.42786190148449,52
664,Hong Kong,57.2699558160594,52
665,Portugal,48.0,52
666,Hong Kong,58.27412386322539,52
667,Portugal,47.0,52
668,Algeria,55.0170868529015,52
669,Algeria,51.133249425776,52
670,Hong Kong,56.26578776889341,52
671,Hong Kong,59.27829191039138,52
672,Algeria,53.722474377193,52
673,Moldova,5.9566105,52
674,Hong Kong,61.28662800472337,52
675,Hong Kong,60.28245995755738,52
676,New Zealand,45.50919071538463,53
677,New Zealand,47.77514860769232,53
678,Belarus,48.78174600809718,53
679,New Zealand,47.2086591346154,53
680,New Zealand,46.07568018846155,53
681,New Zealand,46.64216966153848,53
682,New Zealand,44.942701242307706,53
683,Belarus,51.87635522267208,53
684,Belarus,50.84481881781378,53
685,Luxembourg,5.816501,53
686,Peru,46.0,53
687,Belarus,49.81328241295548,53
688,Peru,47.0,53
689,Belarus,45.687136793522285,54
690,Hong Kong,44.0,54
691,New Zealand,49.474617026923084,54
692,New Zealand,48.34163808076924,54
693,Hong Kong,45.0,54
694,Peru,50.30087195681511,54
695,New Zealand,48.90812755384616,54
696,Belarus,44.655600388663984,54
697,Belarus,42.59252757894738,54
698,Belarus,46.71867319838058,54
699,Belarus,43.62406398380568,54
700,Armenia,5.7905171,54
701,Belarus,47.75020960323888,54
702,Peru,46.40793942240215,55
703,Peru,43.48824002159244,55
704,Iraq,44.0,55
705,Peru,47.3811725560054,55
706,Peru,45.434706288798914,55
707,Peru,42.5150068879892,55
708,Hungary,41.0,55
709,Kosovo,5.7154386,55
710,Peru,44.46147315519568,55
711,New Zealand,50.04110650000001,55
712,Peru,49.32763882321187,55
713,Peru,48.35440568960863,55
714,Romania,41.821275874493935,55
715,Iraq,41.0,56
716,Iraq,45.4380695465587,56
717,Qatar,43.0,56
718,Iraq,44.75401937044534,56
719,Iraq,46.80616989878543,56
720,Cyprus,4.5238734,56
721,Iraq,42.0178186659919,56
722,Iraq,44.06996919433198,56
723,Iraq,41.333768489878544,56
724,Iraq,43.38591901821862,56
725,Iraq,42.70186884210526,56
726,Peru,41.54177375438597,56
727,Iraq,46.12211972267206,56
728,Hungary,40.265139179757085,57
729,Hungary,41.0,57
730,Qatar,40.0,57
731,Slovakia,44.02106407557355,57
732,Romania,40.72120382591095,57
733,Hungary,40.52960378340081,57
734,Iraq,40.64971831376519,57
735,Romania,41.27123985020244,57
736,Slovakia,42.22035958164642,57
737,Malta,2.456173,57
738,Slovakia,43.120711828609984,57
739,Slovakia,41.32000733468286,57
740,Hungary,40.79406838704453,57
741,Hungary,41.32299759433198,58
742,New Zealand,40.0,58
743,New Zealand,40.0,58
744,Slovakia,40.4196550877193,58
745,Hungary,39.73620997246964,58
746,Cayman Islands,0.64650345,58
747,Romania,39.621131777327946,58
748,Hungary,41.05853299068826,58
749,Qatar,42.15918939838057,58
750,Romania,40.17116780161945,58
751,Hungary,40.00067457611336,58
752,Hungary,39.47174536882591,58
753,Qatar,43.149558441295554,58
754,Denmark,36.67122948306343,59
755,Qatar,40.17845131255061,59
756,Slovakia,37.71859834682861,59
757,Slovakia,39.519302840755735,59
758,Hungary,41.85192680161944,59
759,Bulgaria,34.0,59
760,Denmark,33.0,59
761,Hungary,41.58746219797571,59
762,Slovakia,38.61895059379217,59
763,Qatar,39.18808226963563,59
764,Denmark,36.96097094318489,59
765,Faroe Islands,0.355074,59
766,Qatar,41.16882035546559,59
767,Serbia,39.77939968488531,60
768,Dominican Republic,0.08386554,60
769,Slovakia,35.917893852901486,60
770,Denmark,37.250712403306345,60
771,Slovakia,36.81824609986505,60
772,Qatar,38.19771322672065,60
773,Denmark,38.699419703913634,60
774,Bulgaria,33.0,60
775,Romania,38.52105972874495,60
776,Denmark,33.0,60
777,Denmark,37.5404538634278,60
778,Denmark,38.98916116403509,60
779,Romania,39.071095753036445,60
780,Denmark,39.278902624156544,61
781,Denmark,38.40967824379217,61
782,Qatar,35.22660609797571,61
783,Afghanistan,,61
784,Qatar,37.20734418380568,61
785,Denmark,38.11993678367072,61
786,Romania,37.97102370445346,61
787,Denmark,37.83019532354926,61
788,Belarus,33.0,61
789,Qatar,34.236237055060734,61
790,Qatar,36.21697514089069,61
791,Serbia,38.77721837658572,61
792,Belarus,32.0,61
793,Serbia,31.761949218488542,62
794,Serbia,32.76413052678814,62
795,Serbia,37.77503706828612,62
796,Oman,31.0,62
797,Serbia,30.759767910188955,62
798,Serbia,36.77285575998653,62
799,Romania,36.870951655870456,62
800,Albania,,62
801,Serbia,35.77067445168693,62
802,Romania,37.42098768016196,62
803,Oman,32.0,62
804,Serbia,33.76631183508774,62
805,Serbia,34.76849314338733,62
806,Morocco,30.0,63
807,Morocco,33.55933451187585,63
808,Morocco,36.382711213900144,63
809,Morocco,34.971022862888,63
810,Morocco,30.735957809851563,63
811,Morocco,30.03011363434549,63
812,Morocco,32.14764616086371,63
813,Algeria,,63
814,Morocco,34.265178687381926,63
815,Morocco,35.67686703839407,63
816,Morocco,30.0,63
817,Morocco,32.85349033636978,63
818,Morocco,31.441801985357635,63
819,Ireland,32.29483385863698,64
820,Ireland,30.589763755600544,64
821,Ireland,31.726477157624835,64
822,American Samoa,,64
823,Serbia,30.0,64
824,Ireland,35.13661736369771,64
825,Serbia,30.0,64
826,Ireland,34.56826066268556,64
827,Ireland,33.43154726066127,64
828,Ireland,30.0214070545884,64
829,Ireland,33.99990396167342,64
830,Ireland,31.15812045661269,64
831,Ireland,32.86319055964913,64
832,Bahrain,32.35249324156545,65
833,Bulgaria,28.22567865047233,65
834,Angola,,65
835,Bahrain,30.032292852901485,65
836,Bahrain,33.12589337112011,65
837,Bahrain,28.485492593792173,65
838,Bahrain,30.805692982456137,65
839,Bahrain,33.899293500674766,65
840,Bahrain,29.258892723346825,65
841,Bahrain,34.67269363022942,65
842,Slovakia,28.0,65
843,Bahrain,31.5790931120108,65
844,Nigeria,29.0,65
845,Syria,31.3608608731444,66
846,Syria,29.513978439946012,66
847,Bahrain,27.712092464237514,66
848,Nigeria,28.0,66
849,Syria,30.745233395411603,66
850,Syria,31.97648835087719,66
851,Syria,28.282723484480428,66
852,Antigua and Barbuda,,66
853,Syria,28.89835096221322,66
854,Syria,32.592115828609984,66
855,Syria,33.20774330634278,66
856,Syria,30.12960591767881,66
857,Slovakia,28.0,66
