,country,value,year,rank
269,Turkey,234.469525000135,2020,21
270,Australia,234.0,2018,21
271,South Africa,250.08068943859652,2023,21
272,Ukraine,128.8064393,2019,21
273,Norway,124.126519,2019,22
274,Indonesia,242.69027643508767,2026,22
275,Indonesia,237.0389931217274,2025,22
276,Indonesia,231.38770980836708,2024,22
277,Vietnam,217.0,2018,22
278,Indonesia,220.08514318164643,2022,22
279,Indonesia,225.73642649500675,2023,22
280,Indonesia,208.78257655492575,2020,22
281,Indonesia,253.9928430618084,2028,22
282,Indonesia,214.4338598682861,2021,22
283,South Africa,208.0,2017,22
284,Indonesia,259.6441263751687,2029,22
285,Indonesia,248.34155974844808,2027,22
286,Ukraine,206.7604739052632,2023,23
287,Ukraine,215.56198822429155,2025,23
288,Thailand,184.0,2017,23
289,Ukraine,202.359716745749,2022,23
290,Ukraine,211.16123106477733,2024,23
291,Ukraine,228.764259702834,2028,23
292,Ukraine,224.36350254331987,2027,23
293,Thailand,233.44871654520924,2029,23
294,Netherlands,110.68171,2019,23
295,Ukraine,219.9627453838057,2026,23
296,South Africa,207.0,2018,23
297,Ukraine,193.55820242672067,2020,23
298,Ukraine,197.95895958623484,2021,23
299,Thailand,199.47563649662624,2022,24
300,Thailand,209.18223079622135,2024,24
301,Ukraine,233.16501686234815,2029,24
302,Thailand,218.8888250958165,2026,24
303,Thailand,214.03552794601893,2025,24
304,Thailand,189.76904219703107,2020,24
305,Thailand,228.59541939541165,2028,24
306,Thailand,186.0,2018,24
307,Thailand,204.3289336464238,2023,24
308,Thailand,223.74212224561407,2027,24
309,Thailand,194.62233934682865,2021,24
310,Philippines,93.3543207,2019,24
311,Vietnam,178.0,2017,24
312,Poland,157.0,2018,25
313,Egypt,162.15445072267212,2024,25
314,Egypt,173.0753005570851,2027,25
315,Egypt,180.3558671133604,2029,25
316,Poland,153.0,2017,25
317,Egypt,169.43501727894744,2026,25
318,Egypt,147.59331761012152,2020,25
319,Egypt,176.71558383522276,2028,25
320,Finland,84.206701,2019,25
321,Egypt,158.51416744453448,2023,25
322,Egypt,154.87388416639683,2022,25
323,Egypt,151.2336008882592,2021,25
324,Egypt,165.7947340008098,2025,25
325,Malaysia,171.80793841295548,2028,26
326,Poland,145.7549429568151,2020,26
327,Malaysia,164.20452260728746,2026,26
328,Malaysia,144.0,2017,26
329,Belgium,82.051496,2019,26
330,Poland,146.962483268556,2021,26
331,Malaysia,168.00623051012147,2027,26
332,Malaysia,160.40281470445345,2025,26
333,Malaysia,152.79939889878546,2023,26
334,Egypt,151.0,2018,26
335,Malaysia,175.6096463157895,2029,26
336,Malaysia,156.6011068016195,2024,26
337,Malaysia,148.99769099595144,2022,26
338,Sweden,141.73976595276653,2020,27
339,Vietnam,161.9682552273954,2026,27
340,Vietnam,153.42255584682863,2024,27
341,Vietnam,170.5139546079622,2028,27
342,Poland,149.3775638920378,2023,27
343,Vietnam,166.2411049176788,2027,27
344,Chile,74.99209,2019,27
345,Vietnam,157.69540553711198,2025,27
346,Vietnam,174.7868042982456,2029,27
347,Malaysia,147.0,2018,27
348,Malaysia,145.19598309311743,2021,27
349,Poland,148.1700235802969,2022,27
350,Egypt,143.0,2017,27
351,Vietnam,144.8768564662618,2022,28
352,Argentina,159.42520505398113,2029,28
353,Vietnam,149.14970615654522,2023,28
354,Argentina,156.57745543252364,2028,28
355,Sweden,132.0,2017,28
356,Sweden,130.0,2018,28
357,Austria,66.848708,2019,28
358,Sweden,142.4394085317139,2021,28
359,Malaysia,141.39427519028342,2020,28
360,Poland,154.20772513900135,2027,28
361,Poland,153.00018482726043,2026,28
362,Poland,150.58510420377868,2024,28
363,Poland,151.79264451551958,2025,28
364,Ukraine,127.0,2018,29
365,Argentina,150.88195618960864,2026,29
366,Argentina,145.18645694669368,2024,29
367,Poland,155.41526545074225,2028,29
368,Poland,156.62280576248315,2029,29
369,Vietnam,136.331157085695,2020,29
370,Argentina,125.0,2017,29
371,Sweden,143.83869368960865,2023,29
372,Czech Republic,63.919966,2019,29
373,Sweden,143.13905111066128,2022,29
374,Vietnam,140.6040067759784,2021,29
375,Argentina,153.72970581106614,2027,29
376,Argentina,148.03420656815118,2025,29
377,Sweden,148.03654916329285,2029,30
378,Sweden,144.538336268556,2024,30
379,Argentina,136.64320808232122,2021,30
380,Norway,126.0,2018,30
381,Sweden,145.93762142645073,2026,30
382,Argentina,142.3387073252362,2023,30
383,Sweden,147.33690658434548,2028,30
384,Argentina,133.7954584608637,2020,30
385,Sweden,145.23797884750337,2025,30
386,Switzerland,56.35254,2019,30
387,Argentina,139.4909577037787,2022,30
388,Sweden,146.63726400539812,2027,30
389,Ukraine,124.0,2017,30
390,Norway,133.76148915114712,2025,31
391,Netherlands,140.13761670310393,2029,31
392,Norway,131.5606253900135,2023,31
393,Norway,130.4601935094467,2022,31
394,Netherlands,138.4764714634278,2028,31
